crystal,chakra,zodiac,best uses
Barite,"Third eye, Crown",Aquarius,"Change, Release, Dream Recall"
Beryl,All,"Scorpio, Sagittarius, Pisces","Emotional Healing, Relaxation, Balance"
Bismuth,All,Aquarius,"Peace, Meditation, Teamwork"
Black Agate,Root,Gemini,"Positive Energy, Motivation, Focus"
Black Jade,Root,Taurus,"Positive Energy, Protection, Safety"
Black Kyanite,Root,"Taurus, Libra, Aries","Cleansing, Removing Blockages, Chakra Harmonization"
Black Obsidian,Root,"Sagittarius, Scorpio","Protection, Grounding Energy, Self-Reflection"
Black Onyx,Root,"Leo, Capricorn","Positive Energy, Channeling, Emotional Healing"
Black Opal,Root,Libra,"Protection, Endurance, Romance"
Black Sapphire,Root,Taurus,"Personal Power, Strength, Manifestation"
Black Tourmaline,Root,"Libra, Scorpio","Protection, Grounding, Positive Energy"
Bloodstone,Root,"Pisces, Aries, Libra","Purification, Protection, Stability"
Blue Apatite,Third eye,Gemini,"Progress, Ambition, Honesty"
Blue Aventurine,Throat,"Aquarius, Libra","Confidence, Communication, Calmness"
Blue Calcite,Throat,Cancer,"Social Anxiety, Spiritual Growth, Communication"
Blue Chalcedony,Throat,Gemini,"Communication, Peace, Tranquility"
Blue Fluorite,"Throat, third eye","Pisces, Gemini, Leo, Capricorn","Calmness, Confidence, Truth"
Blue Jade,"Throat, third eye",Taurus,"Rational Thought, Dreaming, Insight"
Blue John Fluorite,"Throat, third eye",Pisces,"Growth, Change, Possibility"
Blue Lace Agate,Throat,"Gemini, Pisces","Authenticity, Criticism, Emotional Balance"
Blue Obsidian,Throat,Pisces,"Communication, Self-Expression, Emotional Strength"
Blue Quartz,"Throat, third eye",Aquarius,"Calmness, Emotional Healing, Self-Expression"
Blue Sandstone,"Throat, third eye",Sagittarius,"New Beginnings, Success, Ambition"
Blue Tiger’s Eye,"Third eye, throat","Leo, Capricorn","Stress, Balance, Communication"
Blue Topaz,Throat,Aquarius,"Honesty, Growth, Emotional Balance"
Blue Tourmaline,Third eye,Libra,"Spirituality, Insight, Closure"
Botswana Agate,Root,Gemini,"Grief, Depression, Emotional Healing"
Brandberg Amethyst,Crown,Pisces,"Compassion, Peace, Joy"
Brilliant Emerald,Heart,"Gemini, Cancer, Taurus","Love, Balance, Spirituality"
Bronzite,Root,Leo,"Confidence, Clarity, Self-Esteem"
Brown Jasper,Root,"Cancer, Capricorn, Aries, Scorpio","Contentment, Grounding, Calmness"
,,,
Cacoxenite,Crown,Sagittarius,"Peace, Attunement, Spirituality"
Calcite,All,Cancer,"Discernment, Drive, Stability"
Calcite Golden,Throat,"Cancer, Libra, Leo","Adversity, Confidence, Responsibility"
Carnelian,Sacral,Virgo,"Creativity, Sexual Energies, Passion, Courage"
Celestite,Throat,"Libra, Gemini","Spirituality, Awareness, Strength"
Cerussite,Root,Virgo,"Wisdom, Letting Go, Logic"
Chalcedony,Throat,"Cancer, Sagittarius","Nurture, Generosity, Alignment"
Charoite,"Crown, third eye","Capricorn, Scorpio, Aries","Sleep, Cleansing, Psychic Abilities"
Chevron Amethyst,"Third eye, crown",Pisces,"Calmness, Wisdom, Clarity"
Chiastolite,"Root, sacral","Capricorn, Libra","Grounding, Strength, Willpower"
Chrysanthemum Stone,"Root, crown","Taurus, Aquarius","Stability, Change, Peace"
Chrysoberyl,"Solar plexus, crown",Leo,"Discipline, Focus, Self-Control"
Chrysocolla,Throat,Sagittarius,"Self-Expression, Communication, Public Speaking"
Chrysoprase,Heart,"Gemini, Aquarius","Hope, Forgiveness, Confidence"
Cinnabar,"Root, sacral",Leo,"Transformation, Light, Confidence"
Citrine,"Solar plexus, sacral","Aries, Leo, Libra","Wealth, Abundance, Pleasure"
Clear Calcite,"Crown, third eye",Cancer,"Clarity, Guidance, Rejuvenation"
Clear Quartz,Crown,Aries,"Clarity, Focus, Meditation"
Cobalto Calcite,Heart,"Cancer, Libra","Love, Compassion, Forgiveness"
Covellite,"Crown, third eye",Sagittarius,"Spirituality, Insight, Manifestation"
Crazy Lace Agate,"Third eye, crown",Gemini,"Positivity, Self-Esteem, Beauty"
Creedite,"Third eye, crown, throat",Virgo,"Guidance, Intuition, Communication"
Crocoite,Sacral,Aries,"Consciousness, Creativity, Flow"
Cuprite,"Root, sacral",Aquarius,"Willpower, Strength, Motivation"
,,,
Dalmatian Jasper,Root,Virgo,"Happiness, Calmness, Passion"
Danburite,"Heart, crown",Leo,"Consciousness, Grief, Stability"
Dendritic Agate,"Root, heart",Gemini,"Abundance, Nature, Stability"
Desert Rose,"Sacral, Root, Crown",All,"Cleansing, Love, Intuition, Protection"
Diamond,Crown,"Virgo, Libra","Purity, Fidelity, Creativity"
Dolomite,All,Aries,"Harmony, Hope, Manifestation"
Dumortierite,"Throat, third eye",Leo,"Insight, Communication, Memory"
,,,
Emerald,Heart,"Taurus, Gemini","Love, Hope, Compassion"
Epidote,Heart,Gemini,"Abundance, Action, Transformation"
,,,
Fire Agate,Root,"Gemini, Capricorn","Energization, Creativity, Release"
Fluorite,All,Capricorn,"Clarity, Focus"
Fuchsite,Heart,Aquarius,"Balance, Principles, Self-Care"
,,,
Garnet,Root,Capricorn,"Passion, Sexual Energy, Courage"
Goldstone,"Root, throat","Leo, Sagittarius","Positivity, Passion, Charisma"
Goshenite,Crown,"Libra, Cancer","Self-Control, Commitment, Spirituality"
Green Apatite,Heart,"Taurus, Virgo","Guidance, Personal Growth, Nature"
Green Aventurine,Heart,Libra,"Opportunity, Luck, Personal Growth"
Green Calcite,Heart,"Cancer, Virgo, Capricorn","Self-Discovery, Change, Personal Power"
Green Fluorite,Heart,Pisces,"Balance, Stability, Intelligence"
Green Jade,Heart,Aries,"Abundance, Harmony, Manifestion"
Green Sapphire,Heart,"Gemini, Libra","Optimism, Fidelity, Devotion"
Green Tourmaline,Heart,Capricorn,"Beauty, Stability, Luck"
Grossular Garnet,Heart,Aquarius,"Abundance, Confidence, Release"
,,,
Heliodor,"Solar plexus, sacral","Leo, Gemini","Logic, Intellect, Pleasure"
Hematite,Root,Aries,"Grounding, Protection"
Herkimer Diamond,"Crown, Third Eye","Aries, Sagittarius","Security, Stability, Stress Relief, Healing, Protection, Adaptation"
Hiddenite,Heart,"Cancer, Pisces, Aquarius, Virgo, Capricorn","Happiness, Renewal, Forgiveness, Transformation, Healing, Compassion"
Howlite,Crown,Gemini,"Calmness, Meditation, Self-Reflection"
,,,
Iceland Spar Calcite,"Crown, Third Eye, Heart, Root, Sacral, Throat, Sacral","Aquarius, Cancer","Inner Vision, Manifestation, Healing, Clarity, Insight, Transformation"
Iolite,"Third Eye, Throat","Taurus, Libra, Sagittarius","Spiritual Growth, Emotional Balance"
,,,
Jade,Heart,"Pisces, Virgo","Self-Love, Compassion, Trust"
Jasper,Root,Cancer,"Balance, Motivation, Connection"
Jasper Polychronic,"Crown, Sacral, Heart, Throat, Third Eye, Solar Plexus, Root","Leo, Cancer, Virgo, Aries","Healing, Change, Adventure, Passion, Creativity, Vitality, Emotional Openness, Protection"
,,,
K2 Stone,"Third Eye, Crown, Throat",Sagittarius,"Astral Travel, Past Life Recall, Higher Self, Prophecy, Spiritual Guidance, Psychic Development, Otherworldly Wisdom"
Kambaba Jasper,Heart,Scorpio,"Compassion, Balance, Courage"
Kunzite,Heart,"Taurus, Scorpio","Peace, Relaxation, Emotional Healing"
Kyanite,All,All,"Insight, Personal Development, Creativity"
,,,
Labradorite,"Third Eye, Crown",None,"Intuition, Purpose, Spiritual Energy"
Laguna Agate,Root,Gemini,"Physical Stamina, Artistic Creativity, Sexuality, Passion, Motivation"
Lapis Lazuli,Third eye,Sagittarius,"Truth, Relationships, Harmony"
Larimar,Throat,"Pisces, Leo","Communication, Courage, Truth"
Larvikite,Root,Aquarius,"Grounding, Strength, Vision"
Lavender Jade,"Third Eye, Crown, Root, Heart","Taurus, Libra","Healing, Forgiveness, Emotional Balance, Spiritual Connection, Creative Inspiration"
Lemurian,Heart,Taurus,"Spiritual Connection, Psychic Development, Healing, Channeling, Higher Self Connection, Divine Feminine"
Leopard Skin Jasper,Root,"Gemini, Scorpio","Protection, Personal Growth, Stability"
Lepidolite,Crown,Libra,"Emotional Healing, Change, Anti-Anxiety"
Lithium Quartz,All,Aquarius,"Peace, Relationships, Change"
Lodestone,Root,"Gemini, Virgo","Relaxation, Intuition, Manifestation"
Lodolite,"Crown, Third Eye, Root, Heart, Throat","Libra, Aquarius, Gemini","Transformation, Change, Healing, Amplification, Communication, Sharpened Focus, Psychic Development"
,,,
Magnesite,"Heart, Crown, Third Eye",Aries,"Emotional Healing, Soothing"
Malachite,Heart,"Scorpio, Capricorn","Rebirth, Self-Discovery, Passion"
Mangano Calcite,Heart,Libra,"Healing, Forgiveness, Compassion, Letting Go, Emotional Balance, Self-Love, Stress Relief"
Meteorite,Root,Sagittarius,"Consciousness, Introspection, Purpose"
Moldavite,Heart,"Aquarius, Cancer, Capricorn, Gemini, Leo, Pisces, Sagittarius, Scorpio","Transformation, Power, Purpose"
Mookaite Jasper,"Solar plexus, root","Scorpio, Virgo","Flexibility, Light, Joy"
Moonstone,"Crown, third eye, heart",Gemini,"Vitality, Intuition, Fertility"
Morganite,Heart,"Pisces, Taurus, Cancer","Love, Harmony, Innocence"
Moss Agate,Heart,Virgo,"Emotional Healing, Concentration, Self-Esteem"
Mother of Pearl,"Crown, third eye",Pisces,"Psychic Abilities, Guidance, Confidence"
,,,
Nuummite,Root,None,"Grounding, Stress-Relief"
,,,
Obsidian,"Root, Solar Plexus, Third Eye","Scorpio, Sagittarius","Protection, Spiritual Growth"
Ocean Jasper,"Heart, solar plexus","Capricorn, Cancer, Pisces","Happiness, Purification, Responsibility"
Onyx,"Root, Third Eye, Solar Plexus",Leo,"Strength, Protection, Focus, Willpower, Perseverance, Determination, Self-Control"
Opalite,Third eye,Cancer,"Youth, Optimism, Positivity"
Orange Calcite,Solar plexus,"Cancer, Leo","Action, Abundance, Creativity"
Orange Sapphire,Sacral,Taurus,"Creativity, Intuition, Motivation, Grounding, Sexuality, Manifestation, Dreams, Visionary Work, Passion Projects"
Orgonite,All,All,"Positivity, Spirituality, Meditation"
,,,
Pearl,"Crown, Heart, Third Eye",Gemini,"Wisdom, Integrity, Purity"
Peridot,Heart,Leo,"Abundance, Confidence, Balance"
Petrified Wood,Root,"Leo, Virgo","Balance, Potential, Grounding"
Phantom Quartz,Crown,All,"Balance, Stability, Love"
Picture Jasper,Root,"Leo, Capricorn","Grounding, Consciousness, Direction"
Pietersite,"Heart, Solar Plexus, Sacral, Third Eye","Capricorn, Libra, Leo, Sagittarius,","Decisiveness, Forgiveness, Healing, Vision, Intuition, Shamanic Journeying, Spiritual Guidance, Inner Strength, New Beginnings"
Pink Opal,Heart,"Gemini, Aquarius","Release, Emotional Healing, Sleep"
Pink Quartz,Heart,Scorpio,"Unconditional Love, Self-Love, Healing Heartache, Comfort, Anxiety Relief, Stress Relief"
Pink Sapphire,Heart,Taurus,"Forgiveness, Compassion, Unconditional Love, Letting Go, Moving Forward"
Pink Tourmaline,Heart,Libra,"Spirituality, Positivity, Self-Love"
Purple Fluorite,Crown,Pisces,"Focus, Clarity, Confidence"
Purple Jade,"Third Eye, Crown, Root","Libra, Taurus, Pisces, Aquarius, Virgo, Gemini","Psychic Protection, Psychic Abilities, Self-Discovery, Emotional Healing, Stability, Astral Travel, Lucid Dreaming"
Pyrite,Root,Leo,"Creativity, Shielding, Prosperity"
Pyrope Garnet,"Crown, Root, Heart, Third Eye",Aquarius,"Success, Steadfastness, Fortitude, Grounding, Protection, Love, Courage"
,,,
Que Sera Stone,All,None," Energy Healing, Positive Energy, Metaphysical Healing, Truth"
,,,
Rainbow Moonstone,All,Cancer,"Emotional Balance, Soothing, Chakra Alignment"
Rainbow Obsidian,Root,"Libra, Cancer","Support, Positivity, Grounding"
Red Agate,Root,"Capricorn, Pisces, Taurus, Scorpio","Protection, Motivation, Endurance"
Red Coral,Root,Aries,"Confidence, Rationality, Balance"
Red Jasper,Root,"Cancer, Capricorn, Aries, Scorpio","Grounding, Courage, Strength"
Rhodochrosite,Heart,"Leo, Scorpio","Nurturing, Memories, Self-Acceptance"
Rhodonite,Heart,Taurus,"Compassion, Forgiveness, Harmony"
Rhyolite,Heart,"Sagittarius, Aquarius, Gemini","Change, Inner Strength, Self-Acceptance"
Rose Quartz,Heart,"Libra, Taurus","Love, Joy, Harmony"
Rutilated Quartz,All,All,"Illumination, Inspiration, Amplification"
,,,
Sapphire,"Third eye, heart, solar plexus",Virgo,"Wisdom, Awareness, Vision"
Selenite,Crown,Taurus,"Clarity, Cleansing, Intentions"
Septarian,"Root, solar plexus","Taurus, Sagittarius","Harmony, Comfort, Grounding"
Seraphinite,"Crown, Third eye, Throat, Heart, Solar Plexus, Sacral, Root.",Sagittarius,"Opportunities, New beginnings, Inner peace, Passion, Inspiration."
Serpentine,Heart,Gemini,"Transformation, Nature, Awakening"
Shiva Lingam,All Chakras,Scorpio,"Intuition, Balance, Strength, Awakening, Fertility."
Shungite,Root,"Scorpio, Capricorn, Cancer","Grounding, Balance, Action"
Smoky Quartz,Root,"Scorpio, Sagittarius, Capricorn","Balance, Grounding, Positivity"
Snowflake Obsidian,Root,"Capricorn, Virgo","Purification, Discovery, Balance"
Sodalite,Third eye,"Pisces, Sagittarius","Clarity, Communication, Wisdom"
Spessartine,"Root, Sacral, Heart.",Aquarius,"Creative Awakening, Confidence, Self-healing, Peace, harmony, Balance."
Spirit Quartz,Crown,"Virgo, Libra, Capricorn, Aquarius, Pisces","Release, Protection, Astral Travel"
Spodumene,"Crown, Third eye, Throat, Heart, Solar Plexus.",Cancer,"Protection, Confidence, Emotional Fulfillment, Positivity."
Stellar Beam Calcite,"Etheric, Crown, Third eye, Solar Plexus",Cancer,"Expansion, Higher Self-worth, Manifestation, Personal Will."
Strawberry Quartz,Heart,Libra,"Love, Self-Discovery, Peace"
Sugilite,Crown,"Pisces, Virgo","Relationships, Growth, Spirituality"
Sunstone,Sacral,"Libra, Leo","Positivity, Zest, Confidence"
,,,
Tanzanite,"Etheric, Crown, Third eye, Throat, Heart",Gemini,"Inter-dimensional Communication, Spiritual Awakening, Awareness, Truth, Sense of Purpose."
Tibetan Quartz,All Chakras,All,"Cleansing Aura, Courage, Spiritual Connections, Peace, Healing."
Tiffany Stone,"Crown, Third Eye",Pisces,"Intuition, Lucid Dreaming, Higher Self, Guidance, Spiritual Connection"
Tiger Iron,"Solar Plexus, Sacral, Root",Leo,"Courage, Growth, Creativity, Strength, Truth"
Tiger’s Eye,"Solar Plexus, Third Eye, Root, Throat",Gemini,"Protection, Willpower, Self-Belief, Self-Esteem"
Topaz,"Solar Plexus, Throat, Crown, Etheric, Root, Sacral","Sagittarius, Scorpio, Leo","Healing, Positivity, Emotional Balance, Self-Awareness"
Tourmalinated Quartz,"Root, Solar Plexus, Third-Eye, Heart, Crown, Sacral, Throat","Libra, Scorpio, Capricorn","Protection, Grounding, Healing, Clarity, Positive Energy"
Tourmaline,"Root, heart, crown, third eye, throat","Libra, Capricorn, Scorpio","Grounding, Vitality, Strength"
Tree Agate,Heart,"Virgo, Taurus, Gemini","Personal Growth, Stability, Calmness"
Turquoise,Throat,Sagittarius,"Revitalization, Optimism, Positivity"
Turritella Agate,Root,Gemini,"Transformation, Healing, Protection, Grounding, Past-Life Recall"
,,,
Umbalite,"Heart, Root, Crown",Aquarius,"Healing, Compassion, Forgiveness, Self-Worth, Emotional Balance"
Unakite,"Heart, Third Eye",Scorpio,"Scrying, Vision, Balance"
Uvarovite Garnet,"Heart, Root","Aquarius, Taurus","Abundance, Purpose, Passion, Prosperity, Hope, Transformation"
,,,
Violet Sapphire,"Third-Eye, Crown","Taurus, Virgo","Awakening, Intuition, Spirituality, Clarity, Emotional Balance, Healing"
Vivianite,"Heart, Throat, Third Eye, Crown",Capricorn,"Balance, Heart-Healing, Compassion"
,,,
White Agate,Crown,Gemini,"Pregnancy, Good Fortune, Releasing Anger"
White Sapphire,"Crown, Third-Eye",Taurus,"Wisdom, Strength, Spirituality, Insight, Guidance, Protection"
,,,
Xanthite,Solar Plexus,None,"Determination, Courage, Self-Confidence"
,,,
Yellow Apatite,"Solar Plexus, Sacral",Yellow Apatite is not associated with any particular zodiac sign,"Motivation, Confidence, Manifestation, Communication, Willpower"
Yellow Calcite,Solar plexus,"Cancer, Leo, Pisces","Memory, Self-Confidence, Willpower"
Yellow Jade,Solar Plexus,Virgo,"Ambition, Perseverance, Self-Belief"
Yellow Sapphire,Solar-Plexus,"Pisces, Taurus","Knowledge, Intuition, Clarity, Emotional Balance, Optimism, Stress Relief"
,,,
Zebra Marble,"Crown, Root",Gemini,"Balance, Self-Reflection, Grounding"
Zircon,"Root, Sacral, Solar-Plexus, Heart, Throat, Third-Eye, Crown","Leo, Aries, Sagittarius","Spiritual Guidance, Protection, Connection with Higher Self, Enlightenment"
,,,
